id,production_location,production_location2,sale_location,sale_location2,types_of_sampling,food_category,adulterant_category,adulterant,food_specifications_model_list,mandate_level,manufacturer_type,sampled_location_type,grade
2644,江苏省,泰州市,江苏省,泰州市,Same Place,convenience food,Microbial contamination,霉菌,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
6407,四川省,德阳市,四川省,德阳市,Same Place,condiment,Specification,总酸,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
2641,河南省,开封市,河南省,开封市,Same Place,convenience food,Microbial contamination,菌落总数,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
8833,江苏省,苏州市,江苏省,苏州市,Same Place,vegetable and vegetable product,Specification,过氧化值,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
5498,山东省,威海市,山东省,威海市,Same Place,restaurant food,Food additive,铝,Bulk weighing,Provincially Mandated,manufacturer,manufacturer,1
8655,广东省,汕头市,广东省,广州市,Off-site,vegetable and vegetable product,Food additive,二氧化硫,Pre-packaged,Provincially Mandated,manufacturer,wholesale market,0
1892,江苏省,南通市,江苏省,南通市,Same Place,meat and meat product,Specification,过氧化值,Pre-packaged,Provincially Mandated,manufacturer,chain supermarket,0
951,山东省,菏泽市,河南省,开封市,Off-site,alcohol,Specification,酒精度;原麦汁浓度,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
6272,内蒙古自治区,包头市,内蒙古自治区,包头市,Same Place,condiment,Food additive,柠檬黄;日落黄,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,1
8341,四川省,凉山彝族自治州,四川省,凉山彝族自治州,Same Place,vegetable and vegetable product,Food additive,苯甲酸,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
608,山东省,临沂市,山东省,临沂市,Same Place,cereal and cereal product,Microbial contamination,霉菌,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
5958,四川省,内江市,四川省,内江市,Same Place,condiment,Specification,氨基酸态氮,Bulk weighing,Provincially Mandated,manufacturer,restaurant,0
9104,浙江省,绍兴市,浙江省,绍兴市,Same Place,tea and tea product,Pesticide and veterinary drug,三氯杀螨醇,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
251,河南省,驻马店市,河南省,驻马店市,Same Place,cereal and cereal product,Toxin,脱氧雪腐镰刀菌烯醇,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
815,广东省,梅州市,广东省,梅州市,Same Place,alcohol,Specification,酒精度,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
3103,江苏省,常州市,江苏省,苏州市,Off-site,pastry,Food additive,防腐剂混合使用时各自用量占其最大使用量比例之和,Bulk weighing,Provincially Mandated,manufacturer,wholesale market,0
5844,河南省,商丘市,山东省,枣庄市,Off-site,condiment,Specification,氨基酸态氮,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
4728,江苏省,南通市,江苏省,南通市,Same Place,pastry,Specification,脂肪,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
